decimalLongitude,decimalLatitude,year,day,month,temperature,salinity
-40.3651,-20.3373,2020,13,1,26.66,35.92
-48.4017,-27.1431,2020,16,1,27.08,34.06
-48.5641,-27.8865,2020,17,1,24.02,34.84
-48.5138,-27.1461,2020,18,1,26.3,34.07
-45.3802,-23.631,2020,31,1,27.84,35.28
-45.5051,-23.9519,2020,8,2,25.84,35.09
-42.067,-22.9815,2020,18,2,22.81,36.13
-48.7381,-28.5467,2020,15,3,22.64,35.43
-40.2869,-20.3541,2020,15,3,27.62,35.56
-43.0914,-22.897,2020,4,6,22.84,35.95
-41.7838,-22.3975,2020,27,6,22.89,36.08
-48.3336,-27.3817,2020,12,7,17.18,32.99
-43.0414,-22.9645,2020,28,7,22.46,36.0
-45.2984,-23.9081,2021,7,1,26.09,34.75
-45.4568,-23.9152,2021,8,1,26.51,34.76
-42.0261,-22.8222,2021,14,3,25.36,35.27
-40.3355,-20.3736,2021,18,3,26.97,36.49
-44.3017,-23.1662,2021,18,3,27.48,34.9
-41.9103,-22.9553,2021,20,3,23.98,36.05
-43.115,-22.9872,2021,25,4,24.45,35.92
-43.1042,-22.9263,2021,30,4,24.48,35.63
-43.1674,-22.9387,2021,2,5,24.49,35.69
-43.1345,-22.9479,2021,3,5,24.51,35.71
-43.0437,-22.9515,2021,30,5,24.34,35.22
-48.4836,-25.9618,2021,27,6,20.67,33.9
-43.1978,-22.8916,2021,10,7,22.11,35.54
-40.2526,-20.2135,2021,1,8,21.93,36.59
-43.0236,-22.9997,2021,15,8,21.27,35.56
-43.1949,-22.9763,2021,15,8,21.31,35.47
-48.4049,-27.7695,2021,21,8,17.29,32.25
-43.0536,-22.9241,2021,12,9,22.1,35.81
-48.439,-27.9204,2021,9,12,23.82,35.4
-45.018,-23.5766,2021,9,12,22.31,35.38
-48.5226,-27.9763,2021,9,12,23.75,34.95
-45.2148,-23.7281,2021,26,12,24.4,35.75
-40.0251,-20.1399,2021,29,12,26.23,35.19
-40.1688,-20.1777,2021,29,12,26.16,35.59
-44.2346,-23.1581,2022,5,1,25.92,35.38
-43.1564,-22.8966,2022,9,1,24.63,35.21
-42.1495,-22.9413,2022,12,1,24.42,35.14
-48.6103,-26.9685,2022,25,1,27.37,34.89
-41.9052,-22.7689,2022,26,1,23.91,35.77
-48.6122,-28.3395,2022,25,2,24.72,35.34
-40.2962,-20.2726,2022,26,2,27.85,36.04
-40.3028,-20.2806,2022,26,2,27.85,36.04
-43.0723,-22.9625,2022,2,3,25.03,35.84
-40.2718,-20.2243,2022,31,3,26.54,36.01
-43.0579,-22.9652,2022,3,4,25.01,34.51
-43.1344,-22.9334,2022,6,4,25.52,34.71
-43.0918,-22.9366,2022,10,4,25.54,34.62
-43.0797,-22.912,2022,8,5,24.59,34.69
-40.2529,-20.2415,2022,20,5,24.87,36.36
-40.2698,-20.2831,2022,20,5,24.87,36.36
-48.2747,-25.5403,2022,26,5,20.93,34.49
-48.5294,-27.5234,2022,16,6,17.61,32.24
-43.1533,-22.8826,2022,10,7,22.05,35.19
-43.1808,-22.9291,2022,10,7,22.05,35.19
-43.0095,-22.9933,2022,24,7,22.57,35.67
-43.1205,-22.9702,2022,30,7,22.23,35.8
-38.7802,-17.9469,2022,23,9,24.82,37.45
-38.7552,-17.8545,2022,9,10,26.03,37.42
-43.137,-22.894,2022,17,10,24.44,35.55
-43.1584,-22.9046,2022,22,10,24.9,35.48
-46.0675,-23.8084,2022,23,10,24.12,32.99
-43.0826,-22.9367,2022,30,10,25.59,35.46
-43.0334,-22.9061,2022,6,11,23.92,35.42
-40.6417,-20.9583,2022,6,11,23.26,36.18
-43.5253,-23.5955,2022,16,11,24.65,36.85
-47.9219,-25.2212,2022,19,11,23.98,32.71
-41.9283,-22.7606,2022,21,11,24.06,35.93
-40.3246,-20.3579,2022,8,12,24.32,35.8
-40.2572,-20.3964,2022,8,12,23.67,36.04
-45.0341,-23.4433,2022,8,12,26.42,34.41
-40.2344,-20.2568,2022,11,12,25.04,35.9
-40.2548,-20.2928,2022,11,12,24.97,35.89
-47.85,-25.0698,2023,1,1,26.62,33.38
